,year,month,Sales,Traffic,standardized_sales,standardized_traffic
0,2015,1,1161641.0116018984,6448.417509454626,-0.30976827598414763,0.11348018150233703
1,2015,2,1078081.778490264,4727.8350189092525,-1.0475590096152796,-0.5778137583772678
2,2015,3,1150267.7295475574,5120.878792545818,-0.4101892803207426,-0.41989701778772165
3,2015,4,1095186.3099704748,4618.252528363879,-0.8965336308598053,-0.6218417035918673
4,2015,5,1170282.3099704748,5676.461283091192,-0.23346946823468026,-0.1966756314678506
5,2015,6,1129092.1001819335,5181.252528363879,-0.5971606363633739,-0.39564011762265694
6,2015,7,1163507.487130545,5641.461283091192,-0.293288130124682,-0.21073789702543919
7,2015,8,1209933.6735959933,6200.922566182384,0.11663437510316431,0.014041906746491584
8,2015,9,1123683.2213904397,4598.087547273131,-0.6449186219634412,-0.6299435698507772
9,2015,10,1221509.9323272412,4751.922566182384,0.2188475729028694,-0.5681358873376752
10,2015,11,1211597.9160130057,7274.670037818505,0.131328892849003,0.4454511092589612
11,2015,12,1527105.9393360987,14488.087547273131,2.9171239190319573,3.3436508977078216
12,2016,1,1219925.4474932165,7334.087547273131,0.20485727901684636,0.4693238177367179
13,2016,2,1121773.4474932165,5110.878792545818,-0.6617810730922045,-0.4239148079470327
14,2016,3,1165572.834441828,5450.087547273131,-0.2750520351863909,-0.2876278482774782
15,2016,4,1140807.713233322,4919.8350189092525,-0.4937170021144279,-0.5006721873184963
16,2016,5,1174388.2050762041,5514.2963020004445,-0.19721624702307075,-0.2618301179889769
17,2016,6,1166430.9393360987,5239.043773636566,-0.2674753519653925,-0.3724208079675638
18,2016,7,1177018.431178981,5663.461283091192,-0.17399252447656413,-0.20189875867495494
19,2016,8,1191346.0116018984,5634.131320909697,-0.04748638412866479,-0.21368292201753242
20,2016,9,1126833.9393360987,4503.626264181939,-0.6170991887538643,-0.6678961312147454
21,2016,10,1214832.6176444292,4888.087547273131,0.15988986451969095,-0.5134276552307576
22,2016,11,1267211.6106355716,6758.505056727758,0.6223729944709422,0.2380668510982248
23,2016,12,1572851.7621760285,14159.548830364323,3.3210391171111535,3.211650935332934
24,2017,1,1172332.051239227,6868.505056727758,-0.21537116768653788,0.28226254285064606
25,2017,2,1068568.1001819335,4870.922566182384,-1.1315605428660247,-0.520324184441874
26,2017,3,1176357.519759016,4964.878792545818,-0.17982807733222067,-0.4825745442729735
27,2017,4,1106796.7295475574,4638.505056727758,-0.7940188080382883,-0.6137046626757114
28,2017,5,1187894.801813357,5060.2963020004445,-0.07795902619325916,-0.4442377912216972
29,2017,6,1168718.14912464,5336.670037818505,-0.24728031037613166,-0.33319662361551444
30,2017,7,1185052.0279161339,5670.548830364323,-0.10305945089890056,-0.19905113090619106
31,2017,8,1230608.3752274169,5687.2963020004445,0.29918276283039563,-0.19232234823289623
32,2017,9,1178810.4801216875,4902.252528363879,-0.15816953215235302,-0.5077364630674344
33,2017,10,1189800.3192758528,4433.131320909697,-0.06113415748337748,-0.6962195201507859
34,2017,11,1222717.9160130057,7113.548830364323,0.22951352969239533,0.38071598908238913
35,2017,12,1561060.4474932165,14312.010113455515,3.2169270712444225,3.272906679620906
36,2018,1,1238251.1001819335,7070.548830364323,0.366664613024024,0.3634394913973517
37,2018,2,1093096.8903933922,4966.713811455071,-0.9149822731610042,-0.4818372721813991
38,2018,3,1222186.6246532868,6114.548830364323,0.22482246411577383,-0.020661247832781778
39,2018,4,1085831.2936562393,4724.713811455071,-0.9791342495178291,-0.5790677940367258
